V_composition,debye_temperature_0K_ord,debye_temperature_0K_ord_error,debye_temperature_0K_ord_up,debye_temperature_0K_ord_down,entropy_0K_ord,entropy_0K_ord_error,entropy_0K_ord_up,entropy_0K_ord_down,configurational_entropy_0K_ord,configurational_entropy_0K_ord_error,configurational_entropy_0K_ord_up,configurational_entropy_0K_ord_down,free_energy_0K_ord,free_energy_0K_ord_error,free_energy_0K_ord_up,free_energy_0K_ord_down,debye_temperature_300K_ord,debye_temperature_300K_ord_error,debye_temperature_300K_ord_up,debye_temperature_300K_ord_down,entropy_300K_ord,entropy_300K_ord_error,entropy_300K_ord_up,entropy_300K_ord_down,configurational_entropy_300K_ord,configurational_entropy_300K_ord_error,configurational_entropy_300K_ord_up,configurational_entropy_300K_ord_down,free_energy_300K_ord,free_energy_300K_ord_error,free_energy_300K_ord_up,free_energy_300K_ord_down,debye_temperature_500K_ord,debye_temperature_500K_ord_error,debye_temperature_500K_ord_up,debye_temperature_500K_ord_down,entropy_500K_ord,entropy_500K_ord_error,entropy_500K_ord_up,entropy_500K_ord_down,configurational_entropy_500K_ord,configurational_entropy_500K_ord_error,configurational_entropy_500K_ord_up,configurational_entropy_500K_ord_down,free_energy_500K_ord,free_energy_500K_ord_error,free_energy_500K_ord_up,free_energy_500K_ord_down,debye_temperature_700K_ord,debye_temperature_700K_ord_error,debye_temperature_700K_ord_up,debye_temperature_700K_ord_down,entropy_700K_ord,entropy_700K_ord_error,entropy_700K_ord_up,entropy_700K_ord_down,configurational_entropy_700K_ord,configurational_entropy_700K_ord_error,configurational_entropy_700K_ord_up,configurational_entropy_700K_ord_down,free_energy_700K_ord,free_energy_700K_ord_error,free_energy_700K_ord_up,free_energy_700K_ord_down,debye_temperature_1000K_ord,debye_temperature_1000K_ord_error,debye_temperature_1000K_ord_up,debye_temperature_1000K_ord_down,entropy_1000K_ord,entropy_1000K_ord_error,entropy_1000K_ord_up,entropy_1000K_ord_down,configurational_entropy_1000K_ord,configurational_entropy_1000K_ord_error,configurational_entropy_1000K_ord_up,configurational_entropy_1000K_ord_down,free_energy_1000K_ord,free_energy_1000K_ord_error,free_energy_1000K_ord_up,free_energy_1000K_ord_down,debye_temperature_1300K_ord,debye_temperature_1300K_ord_error,debye_temperature_1300K_ord_up,debye_temperature_1300K_ord_down,entropy_1300K_ord,entropy_1300K_ord_error,entropy_1300K_ord_up,entropy_1300K_ord_down,configurational_entropy_1300K_ord,configurational_entropy_1300K_ord_error,configurational_entropy_1300K_ord_up,configurational_entropy_1300K_ord_down,free_energy_1300K_ord,free_energy_1300K_ord_error,free_energy_1300K_ord_up,free_energy_1300K_ord_down
0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,
0.125,559.7544825562461,1.223987232604529,560.9784697888506,558.5304953236416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.477786632610615,0.00016244782197402386,-4.477624184788641,-4.477949080432588,549.2554859082776,6.191010709604794,555.4464966178824,543.0644751986728,2.422910051658735,0.029414361348274812,2.45232441300701,2.39349569031046,0.0,0.0,0.0,0.0,-4.46403682989579,0.0009655682387853915,-4.463071261657005,-4.465002398134576,545.6660064108876,4.0964576497030345,549.7624640605906,541.5695487611846,3.8265600942553055,0.027243640689880583,3.853803734945186,3.799316453565425,0.0,0.0,0.0,0.0,-4.516284170954183,0.001221688798182528,-4.515062482156001,-4.517505859752365,551.6981409731521,5.534812575852943,557.2329535490051,546.1633283972992,4.75986530089256,0.040707415358727635,4.8005727162512875,4.719157885533833,0.0,0.0,0.0,0.0,-4.589585540965788,0.002514631704291688,-4.587070909261496,-4.59210017267008,556.3972843016109,3.2918388243224928,559.6891231259333,553.1054454772884,5.77832743176145,0.04943167991457828,5.827759111676028,5.7288957518468715,0.0,0.0,0.0,0.0,-4.727016861989006,0.004412434550010221,-4.722604427438996,-4.731429296539017,,,,,,,,,0.0,0.0,0.0,0.0,,,,
0.25,598.9066929672881,1.4216650971161602,600.3283580644043,597.485027870172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.659261065150394,0.00020986672920766705,-4.659051198421187,-4.659470931879602,601.7844140247406,7.9084353944966574,609.6928494192373,593.8759786302439,2.1935463719904003,0.03279682715327191,2.226343199143672,2.1607495448371283,0.0,0.0,0.0,0.0,-4.639009093545392,0.000911779830265528,-4.638097313715126,-4.639920873375657,574.5123764516278,9.797018948591193,584.309395400219,564.7153575030366,3.6803218110793847,0.050336125805052624,3.7306579368844375,3.629985685274332,0.0,0.0,0.0,0.0,-4.691053559651189,0.0022310971377500917,-4.688822462513438,-4.693284656788939,584.734965017836,5.586842246949711,590.3218072647857,579.1481227708863,4.592537087980349,0.037139075979472476,4.629676163959822,4.555398012000877,0.0,0.0,0.0,0.0,-4.761745626094527,0.002307743057729342,-4.759437883036798,-4.764053369152256,577.1826569056216,2.882139648968951,580.0647965545905,574.3005172566526,5.661965191803278,0.045103961872672925,5.707069153675951,5.616861229930604,0.0,0.0,0.0,0.0,-4.89998772718215,0.004023886199432791,-4.895963840982717,-4.904011613381583,585.8257358892308,11.018201195689889,596.8439370849208,574.8075346935409,6.406641378686581,0.08168065796810413,6.488322036654686,6.324960720718477,0.0,0.0,0.0,0.0,-5.05760586449678,0.009251074449925812,-5.0483547900468535,-5.066856938946706
0.375,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5,661.0020416165821,0.6786497164082549,661.6806913329904,660.3233919001739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.999973539932915,9.824822298653154e-05,-4.9998752917099285,-5.000071788155902,659.956307132571,6.1357581267382955,666.0920652593094,653.8205490058327,1.969396526685419,0.0224398706524063,1.9918363973378252,1.9469566560330127,0.0,0.0,0.0,0.0,-4.976906497913929,0.0006352375371742223,-4.976271260376755,-4.977541735451103,639.8205512782808,3.305140971824282,643.1256922501051,636.5154103064566,3.378573550062834,0.019753022182807025,3.398326572245641,3.3588205278800274,0.0,0.0,0.0,0.0,-5.0256658404880055,0.0009520424617105671,-5.024713798026295,-5.026617882949716,642.6622508517125,4.245471202079494,646.907722053792,638.4167796496331,4.319294608562733,0.029707333636570236,4.349001942199303,4.289587274926163,0.0,0.0,0.0,0.0,-5.095727734974633,0.001904196475662588,-5.09382353849897,-5.097631931450296,641.3404582338773,0.6096303748959667,641.9500886087732,640.7308278589813,5.411088810568509,0.014386214567595519,5.425475025136104,5.396702596000913,0.0,0.0,0.0,0.0,-5.233919489711618,0.0014986307015132214,-5.232420859010105,-5.235418120413131,639.5917341111617,7.487693180454548,647.0794272916163,632.1040409307071,6.143651775980856,0.06547781363534284,6.209129589616198,6.078173962345513,0.0,0.0,0.0,0.0,-5.3882840976501996,0.007420200957216679,-5.380863896692983,-5.395704298607416
0.625,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.75,584.1610142525391,0.3871854112094159,584.5481996637485,583.7738288413296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1148592303890235,0.00014352487499877815,-5.114715705514024,-5.1150027552640225,583.9075700157582,2.7167593355094186,586.6243293512676,581.1908106802488,2.268252012448464,0.013359071251055331,2.281611083699519,2.254892941197409,0.0,0.0,0.0,0.0,-5.104538355946201,0.00039759018680696515,-5.104140765759394,-5.104935946133009,570.3998534176415,5.158122891802884,575.5579763094444,565.2417305258385,3.700115302428658,0.03022272696005109,3.730338029388709,3.669892575468607,0.0,0.0,0.0,0.0,-5.162942904294417,0.0013495542262496143,-5.161593350068167,-5.164292458520667,544.645931384791,2.1979289477817567,546.8438603325727,542.4480024370092,4.791693785752614,0.030942767243554523,4.822636552996168,4.760751018509059,0.0,0.0,0.0,0.0,-5.24854521096164,0.00203126419231901,-5.246513946769321,-5.250576475153959,559.2497387840282,0.41430443134728157,559.6640432153755,558.8354343526809,5.704747329367321,0.027192895632558094,5.731940224999879,5.677554433734763,0.0,0.0,0.0,0.0,-5.3873469019456275,0.002417869230138448,-5.384929032715489,-5.389764771175766,575.9743779322265,6.707329509211501,582.681707441438,569.267048423015,6.455580419961135,0.0702724803617425,6.525852900322877,6.385307939599392,0.0,0.0,0.0,0.0,-5.5505404720594225,0.007898943919504759,-5.542641528139917,-5.558439415978928
0.875,553.5736420201446,0.267613402115144,553.8412554222597,553.3060286180295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.194635312990304,0.00011331249334314658,-5.194522000496961,-5.194748625483647,541.4379339694901,9.374692714252772,550.8126266837429,532.0632412552374,2.4600933915473213,0.04514932524369666,2.505242716791018,2.4149440663036246,0.0,0.0,0.0,0.0,-5.186425297636553,0.0011918617567791166,-5.185233435879773,-5.187617159393332,554.3159480516599,9.696479412871634,564.0124274645316,544.6194686387882,3.7822520237860635,0.052665690706687904,3.8349177144927515,3.7295863330793755,0.0,0.0,0.0,0.0,-5.241397095321496,0.002295819029992092,-5.239101276291503,-5.243692914351488,526.3459969283954,2.964706726145017,529.3107036545404,523.3812902022504,4.899274649916485,0.03399528386121121,4.933269933777696,4.865279366055274,0.0,0.0,0.0,0.0,-5.324938150604407,0.0024240982728430858,-5.322514052331564,-5.327362248877249,566.2564294313928,0.5833449906083961,566.8397744220013,565.6730844407844,5.710104550451684,0.01217143410176651,5.72227598455345,5.697933116349917,0.0,0.0,0.0,0.0,-5.454926281668939,0.001345813558295737,-5.453580468110643,-5.456272095227235,595.5845965493413,13.080135136629297,608.6647316859707,582.504461412712,6.359596655950893,0.08971114670498988,6.449307802655883,6.269885509245904,0.0,0.0,0.0,0.0,-5.597490426139063,0.010084246252722797,-5.58740617988634,-5.607574672391786
1.0,531.3432253218879,0.4019063443671167,531.745131666255,530.9413189775207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.299903492570986,0.00011134244553682531,-5.299792150125449,-5.3000148350165235,524.2295110801282,1.023749216587631,525.2532602967158,523.2057618635406,2.5419882516319494,0.00898492086297273,2.5509731724949223,2.5330033307689765,0.0,0.0,0.0,0.0,-5.290362581595902,0.0003364899166086575,-5.290026091679294,-5.290699071512511,514.1333888490061,1.4993102499716746,515.6326990989778,512.6340785990344,3.991494965684144,0.020357076802771372,4.0118520424869155,3.9711378888813726,0.0,0.0,0.0,0.0,-5.347952483195905,0.0009238687517744954,-5.34702861444413,-5.34887635194768,514.3415414247977,1.9166479531444727,516.2581893779421,512.4248934716533,4.9663656676155155,0.033705079599966555,5.000070747215482,4.9326605880155485,0.0,0.0,0.0,0.0,-5.4291639300289365,0.002066079555994915,-5.427097850472942,-5.431230009584931,510.2662952284001,0.29361950431024453,510.55991473271035,509.97267572408987,6.090446930932513,0.06523564398705943,6.155682574919573,6.025211286945454,0.0,0.0,0.0,0.0,-5.584967510948228,0.005639684517157957,-5.57932782643107,-5.590607195465386,512.3582736064606,7.076407452595823,519.4346810590564,505.2818661538647,6.807114511143064,0.08222317959544591,6.88933769073851,6.724891331547618,0.0,0.0,0.0,0.0,-5.753833162417033,0.00919858701063127,-5.744634575406401,-5.763031749427665
